date,developerResponse,review,rating,isEdited,title,userName
2021-12-23 11:17:30,"{'id': 27046022, 'body': ""You made us cry on Christmas Day! Thank you thank you thank you, we really appreciate your feedback, it's a special one! Thank you for taking the time to express your satisfaction as a Badoo user! Have a great day and remember: we are always here for anything you need!"", 'modified': '2021-12-25T12:50:49Z'}","I genuinely really love badoo compared to other dating apps because you are free to express yourself to your true self and true identity. They will not shadow ban you, or take down your profile or take down your photos compared to other dating apps I’ve tried. Some dating apps would delete my profile if you upload a picture they don’t allow and no communication from the support team …of course be compliant with the community guidelines. I meant more as if you wanted to express yourself by uploading a picture of your cool mask due to the worlds pandemic I want to be able to be allowed to upload it and some dating apps would take down my pictures…  badoo DOES let me express myself on there. As well You get recognition and, swiping is perfect and easy! If you are there for friends, friends is exactly what you will get or if you’re there for a relationship it’s a AWESOME way to find someone. You don’t necessarily need to purchase anything to get swipes I ABSOLUTELY love that!!! and if you do pay for the premium option it gives you exactly what you pay for. I personally did buy it a few times because you get boosted once a week and I love that! It’s a cute and fun way to get people encouraged to buy premium. 10/10.",5,False,Pretty awesome app!,NotSure216
2021-02-25 20:19:19,"{'id': 21336409, 'body': 'Your opinion really matters to us, so thank you for taking the time to leave this constructive review. We will forward your comments to the relevant team for further review, so they can be taken into consideration in future updates. Thank you for helping us build a better product!', 'modified': '2021-02-27T11:02:32Z'}","Great app, overall. Definitely a growing user-base. What I’ve stated continually when being promoted for reviews is that “it’s still growing on me— if Badoo turns out NOT to cripple functionality in favor of becoming ‘pay-to-play’ then I’ll consider it ideal.” Unfortunately, I’m being met with very inconsistent in-app messaging. “Swipe 50 times for your perfect match” — then, some arbitrary number of swipes later (as little as 3 to as many as 20), I’m told “That’s all your swipes [BUY] Premium!” Um, no thanks. I consistently rated this app high because they afford communication via advertisements & viewing them. Furthermore, the purchase of credits isn’t terribly expensive. I will not, however, commit to a monthly statement over a sub-par dating app. I simply won’t. If anyone at Badoo cares to listen, here it is:
You’re making the PRECISE mistake every other app/platform makes— you’re banking on the notion that you can “hook” everyone; when you realize you cannot, you simply disable our ability to use your app. It’s unacceptable. I reside in one of the single largest metropolitan areas of the USA. There are some 9,000,000 residents. I see countless “new members” DAILY. YET, here I am— “out of swipes.” And that’s a wrap, I suppose. 
Folks, it’s good for precisely 4 weeks— UNLESS you ACTUALLY use it a significant amount. In that case, you’ll likely be shut down even faster. It was nice while it lasted; I had hope. ✌🏼",3,False,Unsure,PROJECTZACKO
2023-02-13 03:45:18,"{'id': 34864037, 'body': 'Thank you, we have recorded your feedback. We appreciate you💜', 'modified': '2023-02-14T14:23:40Z'}","This app would be perfect if it collected height and weight as required fields. Lol. Because inquiring minds want to know.

After submitting the above feedback I received sn email from the Badoo development team (see below).  I find their argument regarding weight to be, while noble, also to be rather selective.  The app collects and presents age, for example, as a required field.  They don’t merely confirm that each user is of legal adult age.  This is ageism; shouldn’t a 48 year old man be considered just as worthy to date a woman of any legal age as a man half his age?  I’m a 48 year old American man and I am often mistaken for 30 by females here in SE Asia where I’m living my early retirement years.  Why should I have to reveal my actual age, which might cause a young woman to filter me out of her consideration?  There seems some selective prejudice going on here. 
Thanks for your feedback 🙌 We believe all of our members are beautiful inside and out. We do not, would never, and are very opposed to the idea of having an algorithm to filter users based on weight. We believe love and connections are better unfiltered and come in all shapes and sizes 💜""",5,False,Attributes,RadarTheKat
2020-11-26 02:25:42,"{'id': 19390351, 'body': 'Hey there, We are sorry you feel this way and feel like we have not explained things clearly enough. As our reports are anonymous we are unable to go into detail. Please do contact us again on @Badoohelp or send an email to Badoo/feedback for information. Hope this helps.', 'modified': '2020-11-27T10:59:10Z'}","Blocked my account because I had made too many accounts but when I tried to explain that I had made a new account because I would constantly get logged out because someone was changing my pw they said they’re decision can not be changed even though it’s not my fault...I never posted an inappropriate picture, I was always kind and was never rude. I was a verified user and had never had this problem before. It’s just getting to me lol because I didn’t do anything get blocked and when I would ask over and over what was the reason for blocking me entirely from making another account they said they cannnot provide me with that information ? It didn’t make sense to me, if I violated guidelines why not tell me what guidelines I violated ? I reread the guidelines -0 times and checked off each one. I only ever talked to 1 person daily on the app the other people would ask me for sexual favors which I would decline and I told them that I thought that I was being falsely accused of doing something I did not do but they basically refused to hear me out or check more into it. I have been told on my account that I would be reported and blocked for not giving someone sexual favors so that wasn’t new to me but it’s just really frustrating that they didn’t look deeper into it or go through my messages to see if I had actually did something wrong. It’s been 3 days and I’m still trying to fight to get my account back",1,False,Badoo blocked my account without valid proof and wouldn’t tell me what I did,tezacoda
2022-09-10 00:08:08,"{'id': 31952962, 'body': ""Hi there! We've submitted your feedback about making the Liked You Folder a feature you can access without Premium. Don't forget you can chat with all your matches and that voting in Encounters to get matches is the core of getting to know new people on Badoo - and it's free 🙂 If you've got any questions, hit us up @BadooHelp on social media or via badoo.com/feedback"", 'modified': '2022-09-11T20:00:30Z'}",I think badoo is a great way for people to meet and connect and I know that no one who created this platform will read this or even care but I do believe if you give people the opportunity to see there likes without having to pay for a premium account will have a chance at meeting and connecting with someone special I believe truly that badoo needs to set it self apart from other dating apps enough with the fees and the premium accounts but make way for people to actually build a connection with someone and which could possibly form into a relationship that’s what people want they don’t want to pay for love and also there’s nothing on badoo for Transwomen or Transmen who also need a platform where they can find love and honest connections and at the same time feel safe seen and heard they need a dating app that doesn’t just cater to heterosexual men and women Transgender women and men need a place where they can also make honest and true commitments I just believe badoo can be better but first they need to be better not just ask people to rate there app but also read the Reviews that written by the people who subsequently using this app and also paying for its features I know I’ve said a mouth full but truly hope that someone at badoo reads this and considers making some much needed changes we need inclusivity,1,False,To Whom It May Concern,slumdoggg
2020-04-24 04:17:44,,"This app is the best feature to my life. I’ve met a lot of amazing friends, found a great guy whom I just recently went on a date with. I have been using badoo for a while now and I have enjoyed every moment of its use. They did remove live streams, but in a way I guess that was a good idea as there was a lot of rude guys that would get on my stream and say repulsive things. I highly recommend badoo. It is far better than tinder in my opinion. You can also filter out profiles that are too far away and be able to see whose close by, but, if you want to look in another city, it gives you that capability. suggestions: maybe include the extra info pieces such as single status, height , kids, etc  just right below the photo inside the card so we don’t have to scroll down to see it and we can read as we are swiping. Another idea, more filter ideas during the search such as (kids or no kids, drinking or doesn’t drink, smoking or doesn’t smoke) Thanks Badoo for the awesome experience, I will continue to use and recommend your service 
- Kimberly  ☺️",5,False,Perfect Dating App,Ktiger101
2022-08-20 15:05:27,"{'id': 31585032, 'body': 'We are sorry that you think that the reviews are not real. Please send us a message on badoo.com/feedback, and we’ll sort this out for you. Remember to contact us using your registered email address to speed things up!', 'modified': '2022-08-22T06:57:42Z'}","After submitting a honest/negative review the other day, the developers have flooded the review section with fake reviews. One such review the user stated he met the love of his life 3 minutes after downloading the app and ""lived happily ever after"". 😂 This review was posted on Friday. DO NOT pay for premium services. After paying for the services you will no longer receive matches and you'll be prompted to upgrade yet again to a Premium+ service. Total joke. I went from getting 4-5 likes a day to ZERO once I upgraded to premium. Now, they want me to pay for Premium+ to get more likes. The app is filled with fake profiles, about 80% of all profiles are promoting porn sites, another 10-15% are profiles from men in Santo Domingo pretending to be women trying to get money out of desperate men, then maybe another 10% are real profiles. If you're serious about meeting REAL people, try Tinder or Bumble, wayyyy less fake profiles and ZERO porn promotions. Also to the developer, before you respond with your carbon copy response, try addressing the issues here instead of hiding behind a copy and paste reply that u use for all negative reviews. Also, stop it with the fake reviews, you're not fooling anyone. I will be contacting Apple in regards to a refund for being swindled, and I'll also mention the sleuth of fake reviews on this page.",1,False,Total Scam,Majesty1418
2020-01-04 13:00:08,"{'id': 12733292, 'body': 'Sorry to hear this. To assist you with any billing issues on your account, we kindly request that you contact us again on badoo.com/feedback.\n\n This will allow us to bring up your details and get back to you as quickly as possible.', 'modified': '2020-01-05T20:25:08Z'}","I decided to give badoo premium a chance since it was advertised as a 7 day free trial, so I figured that I would try it out and either cancel it or keep it for a month or two if it was worth it. But immediately after confirming for the 7 day trial, I was charged $17 and given a monthly subscription. No I wasn’t charged after the “free trial” expired, it happened immediately when I confirmed for a free trial and I was given a month of premium since the app charged me for a month of premium instead of the free week of premium. I contacted the customer support, but the conversation would go back and forth for around a week since they take over a day to respond to one message and by then the “free week trial” should have expired. And each time I tried explaining it, they would simply reply that I have a monthly subscription and that it was cancelled and wont be charged afterwards, BUT each time they never mention anything about the free trial that I thought I was getting. The customer support was of no use and basically avoided the questions that I was asking them.
TLDR: Signed up for a free trial of premium, got charged $17 and given a month of premium instead, and customer support took several days to respond only to completely ignore my questions and change the subject. Stick to Tinder 😒",1,False,Swindled me out of $17 and bad customer support,Fitness gram pacer test
2019-01-19 07:29:17,,"I feel that people that are writing other people and they’re not responding back yet looking at a photo first should have their accounts froze until they respond back to the messages that they’re receiving. And I would like to also add that if a person is not active for more than a week their account should be deleted by the site and this way it will ensure that people are being proper with keeping up their account.
I also feel that they should have a comment remark sheet on each and every person‘s profile from people that have dealt with the individual that way you’ll know if you’re dealing with a standup person or not by reviewing their comment sheet from open comments on people And how they treat others. In order for this dating site to be successful and not end up like Plenty Of Fish or plenty of people play plenty of games they need to take it more serious from the perspective of men and women that are being deliberately targeted.",5,False,Okay place,wmootrz.
2022-12-07 17:14:39,"{'id': 33625728, 'body': ""We're sorry to see that you've not had a good experience with Badoo! We'd love to find out how we can improve our app. That is why we will definitely revise all the points that you mentioned in your review! We still want to remind you that Badoo is free to use. We offer paid options for additional services, such as seeing who has liked you, but you can use the people nearby section and chat for free with anyone you match.\n\nAs for fake profiles, our systems can identify suspicious behavior very quickly, and we have a team of moderators who work 24/7 to keep any fake profiles off Badoo. We also count on the support of the community - if something doesn't feel right, please report it, and our team will review"", 'modified': '2022-12-09T08:01:44Z'}","Reason I say it’s a scam. Here goes. First off there is so many paywalls to talk to someone. Meanwhile they allow fake profiles so you don’t feel like there’s not enough people on the app. Second and worst thing is scammers stealing photos and posing as other people from foreign countries. I don’t know why I have so many likes from foreign that say they live in my area then they tell you they live in the phillipines. Like come on badoo. This is unacceptable made me pay for a chat conversation that went no where. People like you but guess what you can’t find out because there’s a pay wall. If this thing is about finding a match why is this app so corporate and greedy. Then they will have an automatic response as to why I left a bad feedback. Badoo your thieves In disguise. And not only that I sent a message to certain people to leave me alone for asking me money and I get a warning for telling these people off. Badoo called me 5 years old in email saying only people that are immature say rude things. I’m like being asked for
Money isn’t rude ??? The world we live in now a days this company doesn’t want you to find anyone they want you to find them
And pay them MONEY !!! Give me money. Well provide fake hope but give me
MONEY!!",1,False,Scam of a dating app,KingOfApps1
