date,developerResponse,review,rating,isEdited,userName,title
2019-03-03 20:50:17,"{'id': 26881805, 'body': ""Thanks so much for your review! We're so happy to hear you met someone special in the Hive! We'd love to learn more about your story. Please share it with us at bumble.com/success. We can't wait to read all about it!"", 'modified': '2021-12-16T21:14:58Z'}","I completely loved this app. I haven’t ever used dating apps and about a year ago I decided to give them a try. I did some research and decided to try Bumble first as I was looking for something serious. The app is really easy to use, I just wished the chat window was a bit more interactive and allowed to delete messages (lol), but again the purpose of this app is just to use it as a first step and continue chatting/texting out of it once you think you have a match. As a woman, is nice to be able to take the first step to initiate the conversation. I had 3 dates with really nice guys before finding my current boyfriend (we’ll soon be celebrating our first anniversary!), so we are both very happy we found each other with this app. The only thing I would recommend them to change is to allow choosing pictures from your phone instead of Facebook. I met one guy who had old photos on Facebook because he just didn’t interact with it a lot, so when we met in person he looked a bit different. Overall it was a good app, and I would recommend it to anyone looking for something serious, guys here were really nice, some really well educated, and a couple were absolute gentleman.",5,False,Ger R.,Great app for those looking for something serious
2022-11-30 19:02:04,"{'id': 33604396, 'body': ""Thanks for reaching out, HonestBudthegreat. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact."", 'modified': '2022-12-08T07:51:44Z'}","This app is set up like all the rest. Swipe left or right. You can’t search everyone at once, you have to go through 1 at a time and eventually you won’t be able to swipe right anymore till you pay or wait a day under the bumble guise of “limited free right swipes make you think harder about who you swipe right on” but once you pony up the cash, swipe right all you want. Here’s where the con comes in. Once you sign up you’ll get 10 +/- likes which of course you can’t see till you pay. Then you pay and if none of those likes are you’re type you can pay more to promote your profile or pay more to super like someone. Oh and eventually you’ll run out of people who fit your search criteria. I live between two major cities with a population of over 8 million people, my criteria was women within 20 years of my age. I ran out of people to look at after 2 days…..but wait, the day after my subscription ran out I received a bunch more likes on my profile.  Which of course then you have to again to see those likes.  Coincidence? I am convinced your is not shown until maybe the last day of your subscription in order to get you to resubscribe.  I understand this is a business and the route to make money. But it’s pretty ridiculous when it’s that obvious.  Oh and by the way when you run out of people that fit your criteria, log back in 15 mins later, there’s another 25 people to search till you run out again.",2,False,HonestBudthegreat,A good con
2023-02-04 22:05:47,"{'id': 34807456, 'body': ""Hi there! We're so sorry to hear you haven't heard back from us yet. Your message is important to us, so please rest assured we'll be replying to you shortly. Please make sure to check your spam folder in case our emails may have arrived there. We can't thank you enough for your patience."", 'modified': '2023-02-11T09:50:51Z'}","I’ve been using Bumble a year, I’ve met one person. The service is terrible. The ads are filled with people promoting social media, but they don’t appear to be filtered. Men constantly post as women, it gets old. A new feature came out called compliments. I had a total of four women respond, and I received a notification I received a message. How ever, there is no message, it’s literally opening up an email with a subject and no message. Support will claim they blocked me, were banned or deleted their profile, but I can still see their profile. It doesn’t ad up, as anyone knows of any of those three criteria are met, you can no longer see that users profile. One customer rep told me it was a glitch, when I replied back they send what appears to be a copy and paste reply and ignore basically the issue you’re having. They will tell you there’s more users joining, your profile is working and keep trying. You then have to email them again. I’ve sent several message and I have not received any replies, it appears they have turned off my support function for sending multiple messages on a time sensitive issue that they deny exists. Even if you buy super swipes, if a free user can only swipe so many people, what good is your swipe? I feel the app would be better if it wasn’t for the pricey ads on, better moderation of fake profiles or real profiles with the intent of just promoting social media. The app to me, I feel makes money of off peoples misery.",1,False,Resistance27,"Poor customer service, a waste"
2023-01-16 02:26:10,"{'id': 34362363, 'body': ""Hi there. We're sorry you didn't enjoy your experience on Bumble. We are always looking for ways to improve our users' experience so we will make sure to pass your input along to our Product Team. While we continue to work hard to improve this, if we can help your experience further right now, please send us a message at bumble.com/contact. 💛"", 'modified': '2023-01-18T15:57:45Z'}","I usually only get a dozen or so right swipes each day and after my few minutes of free swiping are up I get this annoying message asking me to subscribe to get more swipes. That being said, the user interface is good and I’ve had good experiences with people I’ve met here, I just wish there was more consideration for people like me who don’t feel like paying big bucks each month to keep on swiping.

The developer left a response where they reminded me that I get new swipes every 24 hours, encouraging me to reach out to support if my swipes are not resetting and I appreciate the response. That 24-hour reset is a big part of the problem, I feel almost compelled to make a few obligatory swipes each day, because if I take a break from the app then I’ll spend a few weeks where I constantly run out of swipes and get limited on the number of matches I can make. Another surprising this here is that the subscription is much more expensive than Tinder’s top-tier subscription and yet Tinder has vastly more people than Bumble. (Tinder also gives me way more free swipes than Bumble does).

In short, I do like this app but it feels like a chore that I need to check off each day and my bumper of matches gets artificially limited because I’m not interested in paying for an expensive subscription.",3,False,Josh15041,"“Out of likes for today”, freemium software: update after dev response"
2021-02-07 22:21:22,"{'id': 22222509, 'body': ""You don't have to pay to match with anyone. It sounds like you're referring to an admirer or a notification in your Beeline; these are people who have swiped right on your profile and that you have the opportunity to match with but you haven't swiped on them yet. Don't worry; you can still find them in your swipe deck."", 'modified': '2021-04-13T16:45:39Z'}","This app is good for meeting new people, however, it’s kinda unfair to use. What I mean by this is that if you end up liking someone or someone (or that person) likes you, in order for you to see who that is or for it to be an official match, you must pay $18 just to see who they are that liked you, which is really unnecessary and expensive if all you’re trying to do is meet someone, and god forbid it’s someone you don’t find interesting or doesn’t match your personality, then you’d end up just blowing $18 for no reason when the whole point was just to meet someone YOU thought was perfect for you. And on top of that, the women have to make the first move (which isn’t necessarily a bad thing), but some don’t make a move at all after matching (from what I experienced). So it then makes it unclear as to whether they even meant to do that in the first place or not, and since I (a male) can’t say anything first, I’m just left in the dark as to why I haven’t heard from anyone cause I can’t say anything to confirm if she’s willing to meet. Im not trying to complain or say it’s a bad app or anything cause it actually does what it’s supposed to do, but I’m just pointing out the flaws of paying an expensive price just to see who swiped you and whether it was worth the money or not and also pointing out the communication issues between people.",3,False,TDROID$$!!!,"Not bad, but needs work"
2022-06-27 00:59:59,,"I don’t use the apps much but during Covid and for travels to meet People I opened it. If you’re looking to meet people  and go on dates this is not for you sorry. Better bet would be badoo. Maybe i haven’t had it for long enough but the guys here while they will answer and I had a lot of matches expect the girl to do all the work not just with writing them first but the whole time. Meanwhile from other apps I’ve actually met up with guys and met interesting   ones from other countries. While the guys here are attractive and accomplished it doesn’t do much when I already have dates lined up from other apps that have maybe more choices but guys that aren’t as appealing. I refuse to pay to use any of these apps, just wanted to see how it goes. I’m sure there’s great guys on here but they need to realize girls can get lots of messages and offers and they should act fast instead of waiting around for the girl to propose something . I’m old fashioned and like that Guys here don’t say inappropriate things and there are a lot of quality guys. But when you hear the same ones have been on it forever maybe it’s because you guys put zero effort into it. I even put my Instagram account in my profile so guys can contact me there and I’m open to meet and respond to my matches. It makes me wonder why guys even have these apps on their phones",3,False,cinderella455,It’s okay
2021-12-29 03:22:18,"{'id': 27544813, 'body': ""Thank you so much for bringing this to our attention. We're so sorry this happened and that our team couldn't help you with this issue via email. We want to take a closer look at what happened and fix this issue. Please reach out to @BumbleSupport on Twitter or Facebook so our team can help you with this right away. We look forward to hearing from you!"", 'modified': '2022-01-19T21:35:12Z'}","I have been a Bumble user for quite sometime now. The site is decent aside from the forced pop-ups asking for contributions and “social causes.” I recently was looking into a subscription for the site and had the incorrect one applied to my account. My first inquiry for assistance was closed without any response and when I tried to follow up they said the matter was resolved and they wouldn’t response to my email. When I opened a second case, although I shouldn’t have had to in the first place, I received a general response with absolutely no details or personal reflection of my inquiry simply telling me I can purchase the additional subscription for the additional cost, which wasn’t even what I was inquiring about in the first place. You’d think for a site that prides itself on its users and highlights a CEO who makes billions of the site, the customer service would be somewhat adequate to answer the concerns of the users in a timely manner. However that is far from the reality of this app and it’s customer service. Would highly recommend staying away from this app and using one of the competitors, they are better sites anyway. I hope one of the employees reaches out to me in regards to this review, but all we know that will never actually happen. My subscription will be my last and I have already cancelled any further charges associated with this app. Would recommend anyone else who uses it to do the same.",1,False,Geebtron3000,Awful Customer Service Scam Subscriptions
2021-03-03 19:02:34,"{'id': 23558123, 'body': ""Thanks for letting us know of your experience, Sebastian. It sounds like things aren't quite working as they should be and we'd love to take a closer look at your profile and see what's going on. Do you mind sending us a message at http://bumble.com/contact?"", 'modified': '2021-06-24T06:37:29Z'}","Not a bad app. Haven’t gotten any targeted ads yet, and haven’t been smothered with obvious fakes either. I’m giving the lower rating because they have basically put the “Dealbreaker” buttons in your range settings as a placebo. I’ve been trying to go mile-by-mile outward, because there is an entire college just outside of 40 miles away, and my queue will be entirely dominated by people from that college if I don’t restrict my range. What I find happening anyway is I will still see people OUTSIDE that range after I’ve set my range to be a dealbreaker! Even sneakier, I will sometimes find that this setting has been turned off for me, as if they’re trying to pull a fast one on me. In addition, how is it that one day I can swipe through every profile in a specific range, but the next day there’s several less than 10 miles out? Not likely they made their profile day, since that little “new here” bubble appears on their profile. There is clearly some sneaky business going on to restrict your swiping to people who will never see your profile past a certain point, and hold some in reserve so you can swipe on for longer. In the end, however, these practices are less predatory than most of your other options for dating apps. If you’re dead set on picking on, this is probably your best bet.",3,False,Sebastian Evridge Pope,Deceptive with your matching preferences.
2022-06-28 06:08:41,"{'id': 30629887, 'body': 'We’re thrilled you made such a special connection in the Hive! Please tell us more about your story at bumble.com/success. 💛', 'modified': '2022-06-29T22:38:36Z'}","bumble was my last shot at finding someone who was looking for the same kind of relationship as me. I was looking for something long term, and none of the other apps I tried seemed to have an option for that. With bumble, not only was this an option, but I found my perfect match. Every day I’m grateful that bumble exists for this reason. I do not have the app anymore for obvious reasons, but I recommend it highly to anyone who is looking to find a real, loving and healthy relationship. Most dating apps are set up for hookups and such. With bumble this is not the case if you don’t want it to be. I love the idea of the girl talking first too. As a girl, this does make things a little awkward, but it helps to be the one making the first move. As in other dating apps, guys typically hit girls with pickup lines or flat out ask if they want to hook up. I felt like I could explain what I was looking for so much easier with bumble. My personal trainer had recommended it to me after he found his now wife on the app. I’m so glad he told me about it. Me and my boyfriend have been together for 8 months now, and are planning on a long happy future together. 

Thank you bumble, from the bottom of my heart💛",5,False,Luvlfle,thank you bumble💛
2022-09-30 03:05:38,"{'id': 32384325, 'body': ""We appreciate you sharing your feedback with us and we're sorry to hear you haven't had the best experience on Bumble. We are always looking for ways to improve our users' experience on the app so we will make sure to pass your input along to our Product Team. If you'd like our Profile Assistants to review your account & offer tips to show off your best self, reach out at bumble.com/contact. 💛"", 'modified': '2022-10-04T13:16:53Z'}","I don’t know what it is about Bumble- if it’s the fact that women start the conversation, causing them to use it less, or a lack of use relative to other dating apps, or the algorithm for non-paying users- but in the month I have had it I haven’t had a single match. And I’m not saying this as a bummed out nerd who is taking their lack of female attention out on the app itself; I use just about every other dating platform and get consistent likes/matches. It makes me think that users who don’t pay suffer when it comes to views, but I’m not willing to pay the INSANE amount of money they are asking to test that theory. 
They could easily offer a lower tier of premium with the use of ad revenue, rather than banking that users will pay the exorbitant amount of money required to get your profile out there - and that goes for all dating apps. 
This no doubt causes users to lose faith in the app, or the process in general, and it’s not a sustainable business model. 
It’s a bummer, too, I honestly like the idea of women starting the conversation and I’m sure it’s a welcome breath of fresh air for them, not constantly being bombarded by creepy dudes all day long. I also like the profile structure (apart from the MEGA cheesy prompt selection). Maybe one day I’ll try paying for a month to see if that makes a difference, but for the time being, Hinge and Tinder seem to be working 🤷🏻‍♂️",2,False,BenBasil,Sus
