Unnamed: 0,rating,userName,title,isEdited,date,review,developerResponse,sentiment
0,3,NoStoppin,"Social media fun, spam bad",False,2021-03-16 13:42:06,"I have always loved learning about other cultures and how people live their everyday lives. Hornet’s Feed section, until recently, has been a way to get a glimpse of this especially in Asia, Russia, and South America.  That part is wonderful.   The last 3 months or so I get 3 or 4 stings a day from OBVIOUS fakes generated by Hornet.  I guess they think we are stupid. Over 3500 follows on a profile that was created today?  

Posting in my feed about this results in the post disappearing.  Replying to this profile with the question results in the message disappearing... 

Image search on google usually finds the profile pictures belong to someone on Instagram or similar.. 

Hornet has gone bad and the way they are doing it is SO OBVIOUS that I question why.  What do they stand to gain, unless the app itself is malicious?  I’m sad because browsing the Feed section has become my morning cup of tea activity, but I am seeing a sharp drop in activity there so by by hornet.",,1
1,2,bksrmt,FAKE PROFILES,False,2020-01-12 05:33:07,"A nice idea though I don’t see the need to categorize the chats as they are. The main problem are the fakes; at best they waste time, but at worst they’ll scam you out of money and potentially your identity. I don’t know if that’s really possible, but I’m sure lots of folks enable location tags on pics and I know one’s email is linked to many apps, including bank apps. Even if that isn’t a problem, Hornet needs to do more. If I, a user, can find where the same photo has been used in three profiles, then surely a tech company can do the same- and I’ve reported quite a few profiles. I have a photo storage app that automatically identifies and collates pictures of people; why does Hornet do that? I’ve been chatted up by no fewer than FIFTEEN fake scammers in one week. Hornet does offer nice advice on instant protestations of love and “too good to be true” issues, and boy do these fakes deliver there. Military, on a mission but coming home soon, maybe a dog or two... strange though, that a guy supposedly born and raised in the states can’t type in English. It’s more than just grammatically poor, it’s absolutely incomprehensible. Hornet needs to find a way to weed these out somehow. I’ll be deleting my account soon, but I’ve started having fun messing with the fakers’ minds a bit. If all I can find are fakes, I don’t need it.",,3
2,1,Lavender X,Spammy app,False,2019-08-05 21:59:51,"Lot of fake profiles on these “LGBTQ+” social networking apps. I just recently uncovered a profile on this app using my friend’s photos. It was definitely not my friend and he confirmed it. Of course the fake user was making political discourse... I really think these “LGBTQ+” social apps might be an attempt to make identity politics out to be more popular than it truly is. I used to be more progressive minded, as were a number of my friends, but when you see most real LGBTQ+ people in person are nothing like on these “LGBTQ+” social networks (whom the media doesn’t seem to publicize as much as they do the “elites”), you realize there’s something off about the ebb and flow of these internet social networks. But then this is just for cyberloafer people without real jobs that moreso waste their time online. This is where the propaganda for identity politics flows. In my own experience, I think the discrete political movement to try to propagate our LGBTQ+ community are falling apart, which is good. Their little elite failure groups only have the Internet. All the rest of us are live in person and not buying it. If this wasn’t true, then these app developers would fix the spam problem, but obviously they could care less, and We the LGBTQ+ People are aware of all the fake internet posers.",,1
3,1,Hugalex,Scammer Site/Don’t Download/Don’t Join This Sote,False,2020-01-12 02:02:24,"I’ve been on this site for a few years.  But all of sudden in the past two months pretty much everyone who is approaching me are scammers.  It starts with photos from attractive 20somethings, and leads to asking you to go Google Hangouts so chat is taken off this site. So far it is always someone from Africa/Togo to be clear, impersonating someone in the US Military.  Several times it has led to asking me to send them a phone as theirs isn’t working well, but they seem to be communicating fine from their phone, to claims they are in Afghanistan and have an ulcer from the food on Base and are looking for help funding their off-Base restraint bill.   In all cases it was easy to see the unsophisticated deception as the person on the other end isn’t really talking proper English.  Their texts are often off grammar, miss basic Americanisms that anyone would easily type. One of these was Bradley Davidson another today was Kokey Wagner....I’ve blocked them but for what I can see this site is 100% fake people and as they aren’t monitoring this may be helping scammers to take advantage of you.",,2
4,1,Rick Boeker,Among the Worst Gay “Social” Apps,False,2018-10-20 14:20:08,"Seriously ranks among the worst gay “social” apps ... only download this if you want your in-box to be constantly hit with messages from bots advertising other websites and apps ... oh, and the paid advertising messages too.

Tragic and horrible and a waste of time - the developers clearly have no filters in place to detect fake / spam accounts and asking users to police accounts for them is a joke ... after flagging 25 profiles and deleting / blocking spam messages, now I’m barraged with messages from the “moderator” thanking me for reporting and that they’ve identified the problem and fixing it.

Too late! This morning’s latest onslaught of spam messages - deleting my profile and uninstalling! Wish I could give less than 1 star - DON’T WASTE YOUR TIME WITH HORNET ... guess I’ll stick with the original, old school Grind’r","{'id': 5651306, 'body': 'We are sorry about the spam messages on Hornet. Fixing the problem is our top priority and we are working around the clock to fix it.', 'modified': '2018-10-24T22:50:40Z'}",1
5,3,World's Foremost Expert,Sadly loaded with scam artists,False,2022-03-01 10:14:23,"Used to be awesome for meeting people nearby, but sadly now loaded with scam artists from a few foreign countries, who have no idea how conspicuous they are. Still good for eye candy. Not giving up on other types of candy, either, but all the ""joined yesterday and now messaging you from 7 thousand miles away to tell you how badly I want an LTR"" guys are a bit too much. They are the ones with commercial modeling promotional pictures from twenty years ago, who think posing in front of luxury items makes them seem somehow more legitimate.",,3
6,1,MacsRule43,Spam bots galore,False,2018-10-14 20:28:41,"Lately the only messages I’ve been getting are from people somewhere past 7,000 miles away that want me to “find them” on another site. Or they are in the military in Africa but will be home soon. Or offering to put a decal on my car for $400 a week with a fake cashiers check. Or wanting to exchange sex for money. Anyone I’ve messaged does not respond, and the ones that have need money or a place to stay. This used to be a decent app. Now not so much. I’m about to delete this app because of the spam. Just like 99% is spam. And it seems to be more that I report it. Oh that’s it the developer is being paid to allow the spamming and the reported profiles are tagged with who reported it and they get the most spam. I get it now! Shady shady af",,2
7,5,trevor knowlton,Best LGBT dating app I’ve used.,False,2020-06-14 21:21:16,"Hornet is an awesome app. It by far leads in features, ease of use and safety.

When a user signs-up, they get to set up their profile with multiple photos and a cool feature where you can have up to 4 private photos that you can enable/disable within the messages. I also love the consent of the hornet badge. 

This app reminds me of if Instagram and Grindr had a baby and named it hornet. It combines location based profiles with versions filters similar to grindr but also has the ability to search usernames, hashtags, as well as create posts and follow users. 

I also love that hornet is constantly working to create a great community where users get rewarded a hornet badge when they are authentic. This is a great concept to help removing bots and and bad people. 

Thanks hornet ! 🏳️‍🌈 💚 💛 💜  🖤 🤍",,5
8,1,jace757,Awful,False,2019-05-30 20:54:15,"After 5+ years of using the app I decided to delete my account and the app. There is nothing but spam on the actual app. Most of my notifications in a day were just spam bots reaching out and the developers do nothing to stop this, despite what they say in review feedback. This has been a problem for years and there has never been a noticeable difference.

Aside from that, the amount of advertisements from hornet and other businesses is out of control. Advertising is expected, but it shouldn’t be in my inbox. The amount of advertising is too much and is the main reason for me deleting this horrible app. They’re all about money opposed to listening to the people who use their app.",,2
9,5,daniel.ricardo,They blocked even If you pay for the app,False,2019-05-19 22:47:22,"I bought this iPhone from a friend and this app was blocked for his account, I 've sent several messages tô te developers and they ask for information of my friends account that I don't have It. It was his account that blocked this phone and I bought this phone without knowing that this app was blocked for his. I do not have anything to do with what my friend did. I Just bought an iPhone that was blocked because of him.",,1
